shade_id,brand,product,shade_name,hex,undertone,depth,source,source_url
PUBLIC-05799,Makeup Revolution,Conceal & Define Full Coverage Foundation,F16,#AA533A,unknown,deep,Public Sephora-style foundation swatch dataset,
PUBLIC-05800,jane iredale,Beyond Matte Liquid Foundation,M16,#905742,unknown,deep,Public Sephora-style foundation swatch dataset,
PUBLIC-05801,LORAC,PRO Soft Focus Longwear Foundation,16,#C38D61,unknown,medium,Public Sephora-style foundation swatch dataset,
PUBLIC-05802,Laura Mercier,Smooth Finish Foundation Powder,16,#C98153,unknown,medium,Public Sephora-style foundation swatch dataset,
PUBLIC-05803,Armani Beauty,Neo Nude Foundation,16,#764E38,unknown,deep,Public Sephora-style foundation swatch dataset,
PUBLIC-05804,Lancôme,SKIN FEELS GOOD Skin Nourishing Foundation,16C,#7E6963,unknown,deep,Public Sephora-style foundation swatch dataset,
PUBLIC-05805,SEPHORA COLLECTION,Matte Perfection Tinted Moisturizer,Velvet Sephora Quality Way-Nice Price,#886262,unknown,tan,Public Sephora-style foundation swatch dataset,
PUBLIC-05806,bareMinerals,I AM AN ORIGINAL GET STARTED® KIT Original Loose Mineral Foundation Customizable Set,bareMinerals,#A66D4D,unknown,tan,Public Sephora-style foundation swatch dataset,
PUBLIC-05807,SEPHORA COLLECTION,Best Skin Ever Liquid Foundation,Y,#E7BD8A,unknown,light-medium,Public Sephora-style foundation swatch dataset,
PUBLIC-05808,Makeup Revolution,Conceal & Define Full Coverage Foundation,F16.5,#683320,unknown,rich-deep,Public Sephora-style foundation swatch dataset,
PUBLIC-05809,jane iredale,Beyond Matte Liquid Foundation,M17,#794D3F,unknown,deep,Public Sephora-style foundation swatch dataset,
PUBLIC-05810,LORAC,PRO Soft Focus Longwear Foundation,17,#B68252,unknown,tan,Public Sephora-style foundation swatch dataset,
PUBLIC-05811,Laura Mercier,Smooth Finish Foundation Powder,17,#C7895D,unknown,medium,Public Sephora-style foundation swatch dataset,
PUBLIC-05812,Armani Beauty,Neo Nude Foundation,17,#744432,unknown,deep,Public Sephora-style foundation swatch dataset,
PUBLIC-05813,SEPHORA COLLECTION,Clean Glowing Skin Foundation,17,#CFA07A,unknown,medium,Public Sephora-style foundation swatch dataset,
PUBLIC-05814,bareMinerals,I AM AN ORIGINAL GET STARTED® KIT Original Loose Mineral Foundation Customizable Set,bareMinerals,#9F794F,unknown,tan,Public Sephora-style foundation swatch dataset,
PUBLIC-05815,Makeup Revolution,Conceal & Define Full Coverage Foundation,F17.5,#582E23,unknown,rich-deep,Public Sephora-style foundation swatch dataset,
PUBLIC-05816,SEPHORA COLLECTION,Best Skin Ever Liquid Foundation,N,#E9BF90,unknown,light-medium,Public Sephora-style foundation swatch dataset,
PUBLIC-05817,Makeup Revolution,Conceal & Define Full Coverage Foundation,F17.7,#58403C,unknown,rich-deep,Public Sephora-style foundation swatch dataset,
PUBLIC-05818,Makeup Revolution,Fast Base Stick Foundation,F18,#4C2E23,unknown,rich-deep,Public Sephora-style foundation swatch dataset,
PUBLIC-05819,Makeup Revolution,Conceal & Define Full Coverage Foundation,F18,#914338,unknown,deep,Public Sephora-style foundation swatch dataset,
PUBLIC-05820,Makeup Revolution,Conceal & Glow Foundation,F18,#533730,unknown,rich-deep,Public Sephora-style foundation swatch dataset,
PUBLIC-05821,jane iredale,Beyond Matte Liquid Foundation,M18,#73453A,unknown,deep,Public Sephora-style foundation swatch dataset,
PUBLIC-05822,LORAC,PRO Soft Focus Longwear Foundation,18,#C5895C,unknown,medium,Public Sephora-style foundation swatch dataset,
PUBLIC-05823,Laura Mercier,Smooth Finish Foundation Powder,18,#A96F49,unknown,tan,Public Sephora-style foundation swatch dataset,
